store_id,date,tender_type,amount
Columbia,20250707,Credit Card - Visa 4000061 Credit Card - Visa,2259.47
E-Town,20250707,Credit Card - Visa 4000061 Credit Card - Visa,2564.96
Enola,20250707,Credit Card - Visa 4000061 Credit Card - Visa,2538.91
Lititz,20250707,Credit Card - Visa 4000061 Credit Card - Visa,1714.2
Marietta,20250707,Credit Card - Visa 4000061 Credit Card - Visa,2016.47
MountJoy,20250707,Credit Card - Visa 4000061 Credit Card - Visa,1694.39
Paxton,20250707,Credit Card - Visa 4000061 Credit Card - Visa,1398.3
Paxton,20250707,Delivery: Uber Eats,60.26
