store_id,date,gross_sales,net_sales,tax,guest_count,avg_check,gift_card_sales,refunds,void_amount,cash_in,deposits,cash_over_short,sales_w/o_markup
Columbia,20250707,5050.4,4509.81,247.39,617,7.31,10.0,--,35.71,899.35,169.93,-,
E-Town,20250707,5173.08,4577.51,228.57,536,8.54,75.0,--,22.25,643.51,0.0,-,
Enola,20250707,5818.31,5247.51,262.81,682,7.77,105.0,--,20.54,1107.13,0.0,-,
Lititz,20250707,4349.37,3906.66,193.58,490,8.03,35.0,--,12.06,831.21,831.21,0.0,
Marietta,20250707,3990.79,3542.58,172.68,480,7.38,0.0,--,6.28,624.24,0.0,-,
MountJoy,20250707,3838.22,3468.12,176.42,464,7.47,0.0,--,11.18,697.7,0.0,-,
Paxton,20250707,2832.53,2517.57,120.85,336,7.49,0.0,--,11.87,644.85,578.74,-,
